title,author,link,date,edition,edition_link,resumo_link,pdf_link,fonte,termo
Avaliação da Percepção do Idoso sobre a Usabilidade dos Sistemas de Abertura de Embalagens Alimentícias,"Valter Oliveira Nascimento Nascimento, Itamar Ferreira da Silva, Ellen Vitória Diniz da Silva",https://www.ufrgs.br/det/index.php/det/article/view/821,Data não informada,,,,,,
A Usabilidade de avatares de libras em sites: análise da interação de usuários surdos por meio do rastreador ocular Eye Tracking,"Laíse Miolo Moraes, Francine Medeiros Vieira, Berenice Santos Gonçalves, Gilson Braviano, Gisele Schmidt Alves Diaz Merino",https://www.ufrgs.br/det/index.php/det/article/view/495,Data não informada,,,,,,
Um modelo de cores na usabilidade das interfaces computacionais para os deficientes de baixa visão,"Cínthia Costa Kulpa, Fábio Gonçalves Teixeira, Régio Pierre da Silva",https://www.ufrgs.br/det/index.php/det/article/view/8,Data não informada,,,,,,
"Design e Tecnologia no Contexto Hospitalardesenvolvimento de uma cadeira móvel para banho e higienização, com ênfase nas atividades do profissional da saúde","Diogo Pontes Costa, Eugenio Merino, Irandir Paulo, Cesár Giracca, Giselle Merino",https://www.ufrgs.br/det/index.php/det/article/view/879,Data não informada,,,,,,
Proposta de avaliação de usabilidade de sutiãs especiais para mulheres mastectomizadas,"Giovana Costa Simplício, Iara Sousa Castro",https://www.ufrgs.br/det/index.php/det/article/view/935,Data não informada,,,,,,
"Heurística para avaliação de usabilidade em interfaces de aplicativos smartphones: utilidade, produtividade e imersão","Valéria Casaroto Feijó, Berenice Santos Gonçalves, Luiz Salomão Ribas Gomez",https://www.ufrgs.br/det/index.php/det/article/view/141,Data não informada,,,,,,
"Dispositivo de segurança para uso odontológico: uma abordagem interprofissional entre Design, Engenharia e Saúde – iDES","Natália Mattos da Silva, Diogo Pontes Costa, Nicolle Doneda Ruzza, Eugenio Andrés Díaz Merino, Giselle Schmidt Alves Diaz Merino",https://www.ufrgs.br/det/index.php/det/article/view/1037,Data não informada,,,,,,
"Ver, compreender e aprender: estudo comparado com guias de uso de apps editoriais para dispositivos móveis","Ana Claudia Dalagnoli, Flávio Anthero Nunes Vianna dos Santos",https://www.ufrgs.br/det/index.php/det/article/view/387,Data não informada,,,,,,
Avaliação da usabilidade do Audacity na edição de áudio por não especialistas,"Bruno Santana da Silva, Fernando Marques Figueira Filho",https://www.ufrgs.br/det/index.php/det/article/view/1053,Data não informada,,,,,,
Usabilidade de armários modulados em apartamentos reduzidos,"Marina Pezzini, Vera Helena Moro Bins Ely",https://www.ufrgs.br/det/index.php/det/article/view/3,Data não informada,,,,,,
