title,author,edition,edition_link,resumo_link,pdf_link
Celebrando o design e a vida,Sérgio Luciano da Silva,"v. 30, n. 2 (2022)",https://estudosemdesign.emnuvens.com.br/design/issue/view/65,https://estudosemdesign.emnuvens.com.br/design/article/view/1463/533,Sem PDF
"Diversidade, Desafios e Impactos da Pesquisa em Design",Everton Sidnei Amaral da Silva,"v. 32, n. 3 (2024)",https://estudosemdesign.emnuvens.com.br/design/issue/view/72,https://estudosemdesign.emnuvens.com.br/design/article/view/2025/615,Sem PDF
Celebrando 30 Anos de Estudos em Design,Cristina Portugal,"v. 31, n. 3 (2023): Celebrando 30 Anos de Estudos em Design",https://estudosemdesign.emnuvens.com.br/design/issue/view/69,https://estudosemdesign.emnuvens.com.br/design/article/view/1805,Sem PDF
Editorial,Gabriel Patrocínio,"v. 30, n. 1 (2022)",https://estudosemdesign.emnuvens.com.br/design/issue/view/64,https://estudosemdesign.emnuvens.com.br/design/article/view/1380/511,Sem PDF
Editorial,Renata Cadena,"v. 29, n. 3 (2021)",https://estudosemdesign.emnuvens.com.br/design/issue/view/63,https://estudosemdesign.emnuvens.com.br/design/article/view/1299/504,Sem PDF
Avaliação ergonômica da extração manual de raízes de mandioca em propriedades agrícolas familiares a partir do rastreamento de movimentos 3D (X-Sens),"Julia Marina Cunha,											Giselle Schmidt Alves Diaz Merino,											Eugenio Andrés Díaz Merino","v. 23, n. 3 (2015): Edição Especial do 15° ERGODESIGN e USIHC",https://estudosemdesign.emnuvens.com.br/design/issue/view/20,https://estudosemdesign.emnuvens.com.br/design/article/view/270/197,Sem PDF
Editorial,Frederico Braida,"v. 27, n. 3 (2019)",https://estudosemdesign.emnuvens.com.br/design/issue/view/56,https://estudosemdesign.emnuvens.com.br/design/article/view/768/390,Sem PDF
30 anos de registros da pesquisa científica em Design. Viva a EED!,Mônica Moura,"v. 31, n. 2 (2023): 30 anos de excelência",https://estudosemdesign.emnuvens.com.br/design/issue/view/68,https://estudosemdesign.emnuvens.com.br/design/article/view/1720/574,Sem PDF
Editorial,Álvaro Sousa,"v. 30, n. 3 (2022)",https://estudosemdesign.emnuvens.com.br/design/issue/view/66,https://estudosemdesign.emnuvens.com.br/design/article/view/1525/543,Sem PDF
Editorial,Ana Veronica Pazmino,"v. 28, n. 2 (2020)",https://estudosemdesign.emnuvens.com.br/design/issue/view/58,https://estudosemdesign.emnuvens.com.br/design/article/view/993/438,Sem PDF
